t	u	v	w	p	q	r	phi	psi	theta	h
1.7000000000000001e-01	7.4923909759780827e+01	0.0000000000000000e+00	9.4123187843380829e-01	0.0000000000000000e+00	-7.5672563359020773e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2537406958511368e-02	2.9999998798084066e+03
1.8000000000000002e-01	7.4919798246754013e+01	0.0000000000000000e+00	9.4128616154290490e-01	0.0000000000000000e+00	-8.5261767104561888e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2536650232877778e-02	2.9999998614987462e+03
1.9000000000000003e-01	7.4915688753184327e+01	0.0000000000000000e+00	9.4133915021252079e-01	0.0000000000000000e+00	-9.5314283439887489e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2535797615206732e-02	2.9999998415638520e+03
2.0000000000000004e-01	7.4911581289525415e+01	0.0000000000000000e+00	9.4139056254896392e-01	0.0000000000000000e+00	-1.0579963180780643e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2534844472372334e-02	2.9999998199451384e+03
2.1000000000000005e-01	7.4907475865869742e+01	0.0000000000000000e+00	9.4144015239584256e-01	0.0000000000000000e+00	-1.1668630945875901e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2533786476054255e-02	2.9999997965833813e+03
2.2000000000000006e-01	7.4903372491975560e+01	0.0000000000000000e+00	9.4148770838463192e-01	0.0000000000000000e+00	-1.2794212839151644e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2532619612959667e-02	2.9999997714185888e+03
2.3000000000000007e-01	7.4899271177294253e+01	0.0000000000000000e+00	9.4153305278321064e-01	0.0000000000000000e+00	-1.3953453015746575e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2531340191675752e-02	2.9999997443898901e+03
2.4000000000000007e-01	7.4895171930997847e+01	0.0000000000000000e+00	9.4157604016823804e-01	0.0000000000000000e+00	-1.5143087781272478e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2529944846374177e-02	2.9999997154354414e+03
2.5000000000000006e-01	7.4891074762006483e+01	0.0000000000000000e+00	9.4161655594653404e-01	0.0000000000000000e+00	-1.6359872454544766e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2528430537596049e-02	2.9999996844923467e+03
2.6000000000000006e-01	7.4886979679015525e+01	0.0000000000000000e+00	9.4165451474976825e-01	0.0000000000000000e+00	-1.7600605873229819e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2526794550350596e-02	2.9999996514965947e+03
2.7000000000000007e-01	7.4882886690522227e+01	0.0000000000000000e+00	9.4168985872578792e-01	0.0000000000000000e+00	-1.8862152538819601e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2525034489763272e-02	2.9999996163830101e+03
2.8000000000000008e-01	7.4878795804851748e+01	0.0000000000000000e+00	9.4172255574882513e-01	0.0000000000000000e+00	-2.0141462416650442e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2523148274509390e-02	2.9999995790852181e+03
2.9000000000000009e-01	7.4874707030710553e+01	0.0000000000000000e+00	9.4175259756965013e-01	0.0000000000000000e+00	-2.1435588424261514e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2521134128267726e-02	2.9999995395356232e+03
3.0000000000000010e-01	7.4870620375625904e+01	0.0000000000000000e+00	9.4177999792441724e-01	0.0000000000000000e+00	-2.2741701651841185e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2518990569425299e-02	2.9999994976653984e+03
3.1000000000000011e-01	7.4866535847553877e+01	0.0000000000000000e+00	9.4180479062508005e-01	0.0000000000000000e+00	-2.4057104399169725e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2516716399260115e-02	2.9999994534044863e+03
3.2000000000000012e-01	7.4862453454373053e+01	0.0000000000000000e+00	9.4182702764185566e-01	0.0000000000000000e+00	-2.5379241074358809e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2514310688820198e-02	2.9999994066816112e+03
3.3000000000000013e-01	7.4858373203905302e+01	0.0000000000000000e+00	9.4184677719807186e-01	0.0000000000000000e+00	-2.6705707060639097e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2511772764712763e-02	2.9999993574242990e+03
3.4000000000000014e-01	7.4854295103935229e+01	0.0000000000000000e+00	9.4186412189063795e-01	0.0000000000000000e+00	-2.8034255642472920e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2509102194006699e-02	2.9999993055589057e+03
3.5000000000000014e-01	7.4850219162228242e+01	0.0000000000000000e+00	9.4187915684914991e-01	0.0000000000000000e+00	-2.9362803094652934e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2506298768442451e-02	2.9999992510106545e+03
3.6000000000000015e-01	7.4846145386547278e+01	0.0000000000000000e+00	9.4189198794525897e-01	0.0000000000000000e+00	-3.0689432044322007e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2503362488132986e-02	2.9999991937036789e+03
3.7000000000000016e-01	7.4842073784668088e+01	0.0000000000000000e+00	9.4190273006257208e-01	0.0000000000000000e+00	-3.2012393220695243e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2500293544928555e-02	2.9999991335610703e+03
